"","f1","f2","f3","f4","f5","f6","f7","f8","f9","f10"
"c1",1.41008733239992,3.25581960850223,-0.872892487092969,-2.75051675739298,-0.00569641471867965,-2.7927411218121,3.17079992323701,-0.510210487196149,0.00204384598832719,-1.07773400621485
"c1",0.429399944166654,-0.283965296303346,-1.36686056791359,-2.52217101014717,0.318326676231178,0.0379053110037391,4.57707137246568,3.16619889739073,-1.73566447353104,-3.71539470505938
"c1",2.57298497939162,1.1606353269825,-1.89469501354425,-1.91230437169046,-0.985532745164497,-0.935516153192211,2.2512178720241,1.6636229168447,-1.14224765670589,2.23410843613327
"c1",1.60663355702624,-0.0717599701875529,-1.48004044284108,-4.9106206912067,-0.113465895605913,-0.0835092860738204,2.9335619313237,1.13765513117199,-1.16106094156807,-0.479370843877928
"c1",1.01782605678134,0.92842569766248,0.327711756830611,-3.26037813716109,-0.128840311519718,-2.14002030770353,1.74647524838575,0.771422274953783,-1.77551351626639,-0.710948940886648
"c1",1.43173854560876,1.83120597021496,-2.03386788526309,-4.2645588113698,-1.27589249591718,-2.1171622933016,2.88288678259523,2.35597537188599,-2.02835407046109,-1.99712976856356
"c2",-1.74484945063909,0.277034411703719,-4.16666772566969,-0.0575393165809281,-2.98160540834429,3.56435231711219,-0.204644359411042,-1.2848047977762,2.38001531549916,-2.92831756787566
"c1",0.84720647974297,1.55482162818471,-2.51059302489235,-5.53366186506567,-1.0215425314661,-1.62201419778188,2.95741891584479,1.27161278006943,-0.275500919985648,1.1793607651308
"c1",0.757326805579001,0.442215438108653,-0.654432409802121,-3.98658979160896,-0.572832074857885,-0.310675151586967,2.2065118749235,0.11537941370181,-1.62257984638252,1.1365706038133
"c1",0.627874859950739,2.09566775755688,-0.789905691725088,-2.40857092401455,-1.70759712823366,-0.846525656693659,2.81532905290563,1.15424551653993,-3.28607458714318,-0.15012159727653
"c1",-0.552920276489745,1.86503523946403,-1.75106481628462,-3.1071457614439,0.327952999976609,-1.55528527932113,3.06391175293333,1.00942270636253,-0.574216787406832,-0.087703004804516
"c1",1.55161601291824,2.19046851046089,-1.34605017121153,-2.94121424242403,-0.879226168004867,-1.85396675004732,2.41471334089127,2.78645157661605,-1.15310087580503,-1.84801168079354
"c1",-0.0174824394935302,2.46302445517326,-2.94906296713827,-2.77263866732491,0.528738510834088,-2.12410224569631,2.49830463523257,0.80240982980668,-1.50084489978162,-1.98777433916026
"c1",1.59951430788087,0.476087125471787,-1.6099481963926,-3.95232484869828,0.0320107853685401,-1.79088255919427,2.64318728781339,1.35566899915385,-1.75224174905726,-0.72582054818527
"c1",-0.993485529738253,-0.23964061763326,-1.91871701722563,-4.93702469553038,-1.53769917102162,-0.161602962288385,0.938047594972638,1.77545048499413,-0.205804376825263,-2.66817905931753
"c1",0.492181622037482,0.344617516566923,-2.81036382127252,-2.70440416908581,-1.68457509676537,-1.42297431384976,4.67092034332297,2.36089442041735,-1.5140849278587,-0.989718437873401
"c1",1.73517170432819,2.29117420631714,-0.407206570806492,-2.94542811301415,-0.41172952677822,-0.724140929096941,1.13766134768581,1.92909968607858,-1.07024126269551,0.293073386657776
"c1",-0.15159234655835,2.65376476690221,-2.62409661115743,-3.62137656800733,-0.436807314190325,-1.28298714629437,2.25681142650286,3.10151475661183,-1.89688943445162,-0.571273998312485
"c1",0.594397505653789,0.877266471134919,-1.46545297176312,-3.63978946703369,-0.211031674495787,-1.77629060476811,2.98626974071248,1.93322224191709,-3.08677552739482,0.370196080794336
"c1",0.838766548226552,0.71644640564789,-1.80610189632309,-5.53968517194529,-0.611230127767132,-1.94698771125157,4.12361161037867,2.15230034819022,-1.18728144077346,-2.1404541221514
"c1",1.08299066111725,0.360214227120682,-2.92225520209396,-5.04794365657166,-0.37997936880721,-2.10449683141113,3.49096888190697,1.11386045222606,-3.67316416428878,0.32515193885464
"c2",-1.97448798633697,-1.1082663012719,-3.20494467957117,0.135117234043523,-1.764023081163,4.29644602503733,1.98766923682081,-3.25350958019654,3.13599588800171,-2.06937612446333
"c1",1.45816864638905,3.20612101541218,-2.03382502840178,-4.42633747650132,-0.662729795190835,-2.67124892923929,4.15753897514538,-0.707367472441833,-0.0150647515902564,-0.704732270820708
"c1",-0.18824476890999,1.296561204226,-1.58685577309991,-4.20096132302613,-1.0765207768032,-1.04674354615132,2.74536674695761,1.59219469155926,-3.5452486797539,-0.791266470421661
"c1",1.93054422825334,2.12477462897952,-1.49486364010771,-3.83860201024518,-0.142899781964742,-1.01691266573001,0.256369904376253,1.68609443027324,-2.90642108141763,-0.701769571021657
"c1",1.68705899258217,0.568417088099989,-0.901530919209446,-3.9490558763828,1.18082492126018,-1.1941584674801,2.9383217366861,2.98582527512336,-2.03259016354942,0.258204268445403
"c3",-0.422024192388876,-1.99154396707567,4.87078838003147,2.27133808944698,0.812939186605368,-3.47385630375235,-2.23507215343903,-4.7412697426501,0.210613847014577,1.88094365801672
"c1",0.426169439461402,0.703789188527284,-1.81518775379577,-6.42020846767018,-1.52305611114351,-0.393595677487734,3.22568156895067,1.17989461183255,-2.78882440084948,-0.704400674312505
"c1",0.52169071674196,0.97305094009656,-2.01792232562309,-4.81819877474418,-2.43305809359753,-1.6969372389606,2.59599992989434,1.75135277489072,-1.21307940532535,0.68502540888607
